file,title,source,source_url,bytes,duration_seconds,sha256,notes
audio/bhaktivedanta_memorial_library/0805_Harinama_Japa.mp3,Harinam Japa - Hare Krishna Mahamantra,Bhaktivedanta Memorial Library,https://bvmlu.org/audio/SBBTM/0805Harinama_Japa.mp3,3950720,246.794,b0eb56931f64c9018a2b443e7949c0999c21fb03c923620e39de35ad9e07da11,Matches the catalog duration of about 4:06
audio/bhaktivedanta_memorial_library/0806_SriKrishnaChaitanya.mp3,Gurudeva singing Sri Krishna Chaitanya,Bhaktivedanta Memorial Library,https://bvmlu.org/audio/SBBTM/0806SriKrishnaChaitanya.mp3,253440,10.546,7c98a532f84afb3bc8367fb2e6bdf4893967f1f215e7c6e9dfe70de6a5f90ccb,Source server currently returns only 10.5 seconds although its catalog lists 7:34 and 10.4 MB
audio/bhaktivedanta_memorial_library/0807_Govinda_Hare_Gopal_Hare.mp3,Govinda Hare Gopal Hare,Bhaktivedanta Memorial Library,https://bvmlu.org/audio/SBBTM/0807Govinda_Hare_Gopal_Hare.mp3,9683072,605.095,17a131fbed6e382aef7cbfcde671ca9c7960f9d9834ca2005e6ca8292179a31e,Verified MPEG audio
audio/krishnacast/KR152_Radhe_Radhe_Govinda_short.mp3,Radhe Radhe Govinda - short,KrishnaCast,https://www.krishnacast.org/audio/kirtan/RadheRadheGovida-short.mp3,1632384,400.280,e63ce44b83441194aa0fca08ca9f9a6c50a10910bbe7d21a66b1c754bc9dc2ea,KrishnaCast catalog entry KR152
